Date,MMM,ABBV,APD,AEP,AMGN,ADM,T,BKR,BAC,BK,BAX,BMY,CVX,CSCO,KO,CMCSA,ED,GLW,CVS,DRI,DVN,FANG,D,DOW,DTE,DUK,EIX,ETR,EOG,ES,EXC,XOM,FIS,FITB,FE,F,GIS,GPC,GILD,GS,HSY,HPE,IBM,JNJ,KVUE,KDP,KMB,KMI,LMT,LYB,MDT,MET,MS,NEM,NEE,OKE,PEP,PFE,PSX,PXD,PNC,PPL,PRU,PEG,RTX,SRE,SO,STT,TROW,TGT,USB,UPS,VLO,VZ,VICI,WEC,WMB,XEL
2019-07-09,135.36093139648438,57.30451965332031,203.880126953125,76.41078186035156,157.1780548095703,36.830841064453125,17.770843505859375,21.595813751220703,26.07681655883789,37.465415954589844,74.84355926513672,39.74315643310547,99.8842544555664,49.024444580078125,44.86669158935547,38.64133834838867,74.44757080078125,28.61094856262207,47.86109924316406,108.8013687133789,21.54513931274414,87.90939331054688,63.9190673828125,37.28019714355469,96.15877532958984,73.49378967285156,57.36421585083008,87.12252807617188,71.2613525390625,66.27965545654297,29.629270553588867,59.96706008911133,116.02779388427734,23.54999351501465,35.82207489013672,8.20673656463623,46.121849060058594,91.1932373046875,56.43157958984375,184.75799560546875,125.85485076904297,12.754426002502441,105.87529754638672,124.23678588867188,,26.601409912109375,116.51935577392578,15.707542419433594,325.6323547363281,63.66795349121094,87.47015380859375,42.555198669433594,37.650970458984375,33.390724182128906,46.67076110839844,49.680450439453125,115.25326538085938,34.07476806640625,79.80679321289062,111.64849090576172,118.38289642333984,24.68316650390625,79.65713500976562,50.87514114379883,72.87197875976562,60.10923385620117,46.58793258666992,47.657474517822266,92.91963195800781,78.86074829101562,44.335994720458984,87.30189514160156,66.48204803466797,44.445594787597656,17.62273597717285,74.05342864990234,21.37684440612793,53.59150314331055
2019-07-10,135.36093139648438,57.63432312011719,204.0695037841797,76.79132843017578,157.76663208007812,36.8572998046875,17.887409210205078,21.92406463623047,25.78361701965332,37.1546516418457,75.50555419921875,39.67408752441406,101.57665252685547,49.71186828613281,45.06671905517578,39.369571685791016,74.77483367919922,28.359750747680664,48.341190338134766,107.84276580810547,22.128265380859375,90.13651275634766,63.845516204833984,37.03098678588867,96.4079360961914,73.68287658691406,57.281944274902344,87.48191833496094,72.46836853027344,66.89112854003906,29.86518669128418,60.81442642211914,115.95472717285156,23.033329010009766,35.78093338012695,8.182458877563477,47.151397705078125,91.2195053100586,56.19001770019531,183.15733337402344,125.80950164794922,12.668651580810547,106.74156188964844,124.06105041503906,,26.393232345581055,117.31106567382812,15.663169860839844,324.2496337890625,63.23923873901367,87.83448791503906,42.5045051574707,37.24677276611328,33.64055252075195,46.966712951660156,50.128726959228516,117.58910369873047,34.616878509521484,80.12527465820312,114.17178344726562,117.76065826416016,24.409711837768555,78.99848937988281,51.04465866088867,72.90550994873047,60.37293243408203,46.876224517822266,47.094966888427734,92.60657501220703,77.1092758178711,44.20301055908203,87.20751190185547,67.41980743408203,44.910465240478516,17.67820167541504,74.42498779296875,21.43634605407715,53.83794021606445
2019-07-11,138.08938598632812,57.30451965332031,205.4224090576172,76.89279174804688,154.07066345214844,36.79558181762695,17.728458404541016,21.803123474121094,26.0856990814209,37.681243896484375,75.88251495361328,38.439666748046875,101.56856536865234,49.859798431396484,45.2580451965332,39.63030242919922,74.88391876220703,28.19516944885254,50.60200881958008,108.57947540283203,21.990156173706055,89.84065246582031,63.66575622558594,37.210105895996094,96.451904296875,73.53489685058594,57.55345916748047,87.29804992675781,72.61222076416016,67.22699737548828,29.968019485473633,60.86150360107422,116.77696228027344,23.3749942779541,35.863216400146484,8.247203826904297,46.338138580322266,90.96558380126953,55.1321907043457,187.9414520263672,124.46578979492188,12.522836685180664,107.32669067382812,123.0946273803711,,26.284618377685547,116.98751831054688,15.729727745056152,324.31134033203125,63.871036529541016,88.8563232421875,42.588985443115234,37.994972229003906,33.83868408203125,47.17298126220703,50.562782287597656,117.53660583496094,33.76836013793945,81.33399200439453,112.81666564941406,118.94624328613281,24.498186111450195,79.30427551269531,51.16333770751953,73.40292358398438,60.68848419189453,46.530269622802734,47.63151550292969,92.49658966064453,77.66613006591797,44.444053649902344,88.67497253417969,68.2524185180664,44.84742736816406,17.495952606201172,74.41635131835938,21.354522705078125,53.85554504394531
2019-07-12,141.60206604003906,57.39435958862305,204.88125610351562,76.3177719116211,151.41334533691406,36.96311569213867,17.82912254333496,21.604448318481445,26.165660858154297,37.60354232788086,75.0733871459961,38.21523666381836,102.01394653320312,50.425392150878906,45.32761001586914,40.13377380371094,74.6489486694336,28.5936222076416,50.235382080078125,110.736328125,21.982481002807617,91.08158874511719,63.3306884765625,38.71315002441406,95.5578842163086,72.91834259033203,58.121177673339844,86.81329345703125,72.66020202636719,66.77915954589844,29.677656173706055,60.90858840942383,118.18390655517578,23.499996185302734,35.715118408203125,8.490010261535645,46.23432159423828,92.28761291503906,55.19049835205078,190.24456787109375,124.5384292602539,12.788735389709473,108.46650695800781,117.99022674560547,,26.004026412963867,118.12833404541016,15.744522094726562,325.3857116699219,64.720947265625,88.18991088867188,43.01132583618164,38.58837890625,33.959293365478516,46.79856872558594,50.73355484008789,116.60052490234375,33.31266403198242,81.93834686279297,112.37274932861328,119.56005096435547,24.337329864501953,80.37850189208984,51.32438659667969,74.73304748535156,60.472347259521484,45.8548469543457,47.76131820678711,93.58807373046875,78.61823272705078,44.55210876464844,90.88908386230469,68.51112365722656,45.0601692199707,17.646507263183594,73.85469818115234,21.458660125732422,53.51228332519531
2019-07-15,141.193603515625,57.38618850708008,205.3322296142578,77.1126480102539,152.4434051513672,36.804386138916016,17.860916137695312,21.328022003173828,25.9613094329834,37.24960708618164,75.40440368652344,38.146175384521484,101.80339813232422,50.512413024902344,45.33631134033203,40.2056999206543,74.304931640625,28.905460357666016,50.139373779296875,111.32213592529297,21.215208053588867,87.44917297363281,63.81281661987305,39.663265228271484,95.25741577148438,73.47734832763672,58.05535125732422,87.62399291992188,70.94160461425781,66.96001434326172,29.568775177001953,60.47706985473633,119.0975112915039,23.17500114440918,36.08535385131836,8.433354377746582,45.95747756958008,91.7623062133789,56.698116302490234,188.14599609375,125.62789154052734,12.831620216369629,108.90726470947266,118.35044860839844,,25.795854568481445,118.54548645019531,15.707542419433594,323.835693359375,64.59307861328125,88.6964111328125,42.893062591552734,38.20996856689453,33.74393081665039,46.825462341308594,50.50586700439453,117.36163330078125,33.587646484375,82.49368286132812,109.56907653808594,117.88674926757812,24.53839683532715,79.892333984375,51.748207092285156,74.45918273925781,60.51557540893555,46.2172737121582,47.986328125,93.3934555053711,77.9625473022461,44.15312957763672,90.78608703613281,68.16350555419922,45.36744689941406,17.820829391479492,74.61507415771484,21.42146873474121,53.84672927856445
2019-07-16,144.17529296875,56.479705810546875,204.82713317871094,76.53762817382812,153.6119384765625,35.993186950683594,17.792036056518555,20.809722900390625,25.7569637298584,37.2150764465332,75.45957946777344,38.37061309814453,101.02603912353516,50.13825607299805,45.34500503540039,40.53833770751953,73.69235229492188,28.844825744628906,50.08700180053711,109.36055755615234,20.563020706176758,85.55900573730469,63.314361572265625,40.74576950073242,94.93498992919922,73.18962860107422,57.676876068115234,87.6574478149414,69.76914978027344,66.3916015625,29.278404235839844,59.57476806640625,118.50366973876953,23.208328247070312,35.830299377441406,8.506196022033691,45.73252487182617,92.23509216308594,55.75688934326172,191.6496124267578,127.4981918334961,12.702961921691895,109.06681060791016,116.40882110595703,,25.60577964782715,117.92399597167969,15.463499069213867,321.7747802734375,66.03717803955078,88.74080657958984,42.656551361083984,38.20996856689453,33.33042526245117,46.60798645019531,49.9152717590332,117.05545043945312,33.66621398925781,82.79586029052734,109.07845306396484,116.67594146728516,24.41775894165039,80.04917907714844,51.29047775268555,74.43682098388672,60.20000457763672,45.84661102294922,47.441123962402344,93.37653350830078,79.31880187988281,44.08663558959961,90.63162231445312,68.07457733154297,45.23350143432617,17.614810943603516,74.43364715576172,20.975189208984375,53.68832015991211
2019-07-17,142.6885223388672,55.79372024536133,204.2228240966797,76.9688949584961,153.2570037841797,35.54349899291992,17.62248992919922,20.032270431518555,25.93465232849121,38.08696365356445,75.99288177490234,38.094383239746094,100.52396392822266,49.78148651123047,45.37980270385742,39.94496536254883,73.49935913085938,28.541650772094727,49.08316421508789,108.47296142578125,19.895490646362305,83.65240478515625,63.224483489990234,40.18504333496094,95.32337951660156,73.2800521850586,57.33131408691406,88.20906829833984,68.3176498413086,66.62411499023438,29.39938735961914,59.2216911315918,119.3167724609375,22.983325958251953,35.978397369384766,8.360513687133789,45.896907806396484,89.49473571777344,55.740230560302734,189.6754913330078,132.29197692871094,12.6000337600708,108.71727752685547,115.8465576171875,,25.32518768310547,117.50685119628906,15.226851463317871,315.71533203125,64.48025512695312,89.67379760742188,42.2004280090332,37.64237594604492,33.64916229248047,47.06312561035156,49.5523796081543,116.16310119628906,33.57978820800781,82.31403350830078,106.18130493164062,117.44950866699219,24.441884994506836,78.49665069580078,51.612579345703125,72.70990753173828,60.498287200927734,45.95369338989258,47.24208068847656,92.12430572509766,78.91461944580078,45.067447662353516,87.73098754882812,67.29045104980469,45.08380126953125,17.345396041870117,75.09033203125,20.618162155151367,53.934749603271484
2019-07-18,141.373291015625,55.73655319213867,203.42015075683594,77.59465789794922,155.4036407470703,35.411216735839844,17.532413482666016,20.135929107666016,26.192312240600586,38.72578811645508,76.38821411132812,38.02532196044922,100.96124267578125,50.2426643371582,45.24934387207031,40.06184768676758,74.13709259033203,28.72355842590332,49.31884002685547,110.1238784790039,19.719017028808594,85.12344360351562,63.26531982421875,40.30186462402344,96.2613754272461,73.81440734863281,58.23637008666992,89.22036743164062,68.51011657714844,67.51981353759766,29.496187210083008,58.71955490112305,119.98371124267578,23.17500114440918,36.2252197265625,8.303858757019043,46.09589767456055,85.45863342285156,55.981788635253906,190.76040649414062,133.9171142578125,12.651496887207031,113.70216369628906,116.03106689453125,,25.31613540649414,117.0897216796875,15.101134300231934,313.724853515625,64.47273254394531,90.04700469970703,42.234214782714844,38.20996856689453,34.20051574707031,47.612430572509766,49.210853576660156,116.25057983398438,33.831207275390625,83.23689270019531,105.99441528320312,117.74625396728516,24.691207885742188,79.53952026367188,51.748207092285156,73.38054656982422,61.025665283203125,46.23374557495117,48.7132568359375,92.75888061523438,79.4894790649414,45.873714447021484,88.22013854980469,67.3793716430664,45.075927734375,17.424633026123047,75.9112548828125,20.499160766601562,54.50684356689453
2019-07-19,141.0057373046875,55.973388671875,202.50921630859375,76.3431167602539,154.40821838378906,35.4905891418457,17.373464584350586,20.35188865661621,26.121232986450195,39.0797233581543,76.40660858154297,37.4037971496582,101.25276184082031,49.91200256347656,44.6927604675293,39.61231994628906,73.20565032958984,28.680246353149414,48.83002471923828,110.42566680908203,20.21007537841797,85.96990966796875,62.79954147338867,40.122745513916016,94.37806701660156,72.71282196044922,57.73447799682617,88.25920867919922,69.80123138427734,66.11602020263672,28.776321411132812,58.83725357055664,118.53105926513672,23.283329010009766,35.78093338012695,8.255298614501953,45.6546630859375,83.33113861083984,54.17430877685547,189.87110900878906,131.81077575683594,12.728692054748535,113.74014282226562,114.48477935791016,,25.008392333984375,115.55734252929688,15.16029167175293,314.38543701171875,64.62316131591797,89.56718444824219,41.997703552246094,38.17556381225586,33.84730911254883,47.02275848388672,48.76256561279297,113.80973815917969,33.603355407714844,83.26954650878906,107.52864837646484,117.70388793945312,24.26494598388672,79.21019744873047,51.01076126098633,73.9897232055664,60.541507720947266,45.5253791809082,51.99311828613281,91.77738952636719,79.04936218261719,45.715782165527344,88.65782165527344,67.62190246582031,44.58742141723633,17.147300720214844,74.5805435180664,20.506591796875,53.48588180541992
2019-07-22,142.6640167236328,55.532386779785156,203.84402465820312,76.20783233642578,152.24432373046875,35.60521697998047,17.02376937866211,20.69742202758789,26.272279739379883,39.554500579833984,76.02964782714844,36.92039108276367,101.47138977050781,50.23396301269531,44.54491424560547,39.42351150512695,72.85322570800781,28.896800994873047,48.42848205566406,111.35763549804688,20.263784408569336,85.04948425292969,62.317405700683594,39.62432861328125,94.24617767333984,72.4661865234375,57.33131408691406,88.09205627441406,69.93753814697266,66.23658752441406,28.600889205932617,58.900001525878906,119.76443481445312,23.183326721191406,35.87144470214844,8.230656623840332,45.3864631652832,83.87396240234375,54.066036224365234,190.2979278564453,133.51766967773438,12.265521049499512,113.78573608398438,113.0176010131836,,24.990297317504883,114.29741668701172,15.359965324401855,314.97552490234375,63.34453582763672,89.9581527709961,42.0314826965332,38.270172119140625,34.372802734375,46.93981170654297,49.19660186767578,113.97596740722656,33.64263916015625,83.75139617919922,107.65325164794922,118.33126831054688,24.256900787353516,79.02201080322266,50.663230895996094,74.30270385742188,60.76630401611328,45.698341369628906,51.25752639770508,92.11585235595703,78.33980560302734,45.990081787109375,89.25853729248047,68.1877670288086,43.728607177734375,17.091835021972656,74.55461120605469,20.543792724609375,53.43307876586914
