Date,Adj Close_AAPL,Adj Close_AMZN,Adj Close_GOOG,Adj Close_MSFT,Close_AAPL,Close_AMZN,Close_GOOG,Close_MSFT,High_AAPL,High_AMZN,High_GOOG,High_MSFT,Low_AAPL,Low_AMZN,Low_GOOG,Low_MSFT,Open_AAPL,Open_AMZN,Open_GOOG,Open_MSFT,Volume_AAPL,Volume_AMZN,Volume_GOOG,Volume_MSFT,Daily Returns_AAPL,Daily Returns_MSFT,Daily Returns_GOOG,Daily Returns_AMZN,Portfolio Daily Returns,Portfolio Cumulative Returns,Portfolio Value
2017-01-03,27.023710250854492,37.68349838256836,39.30699920654297,57.13872146606445,29.037500381469727,37.68349838256836,39.30699920654297,62.58000183105469,29.082500457763672,37.9379997253418,39.48149871826172,62.84000015258789,28.690000534057617,37.3849983215332,38.790000915527344,62.130001068115234,28.950000762939453,37.895999908447266,38.94049835205078,62.790000915527344,115127600,70422000,33146000,20694100,,,,,,,
2017-01-04,26.99345588684082,37.85900115966797,39.345001220703125,56.883079528808594,29.0049991607666,37.85900115966797,39.345001220703125,62.29999923706055,29.127500534057617,37.98400115966797,39.56700134277344,62.75,28.9375,37.709999084472656,39.15800094604492,62.119998931884766,28.962499618530273,37.919498443603516,39.417999267578125,62.47999954223633,84472400,50210000,21460000,21340000,-0.0011195488603462644,-0.004474057708968693,0.0009668001864113762,0.004657284610836365,7.619556983196052e-06,1.0000076195569831,10000076.195569832
2017-01-05,27.130735397338867,39.022499084472656,39.70100021362305,56.883079528808594,29.15250015258789,39.022499084472656,39.70100021362305,62.29999923706055,29.21500015258789,39.119998931884766,39.7239990234375,62.65999984741211,28.952499389648438,38.01300048828125,39.250999450683594,62.029998779296875,28.979999542236328,38.07749938964844,39.30400085449219,62.189998626708984,88774400,116602000,26704000,24876000,0.005085658949099958,0.0,0.009048137803401524,0.03073239887913859,0.011216548907910018,1.0112242539300267,10112242.539300267
2017-01-06,27.43318748474121,39.79949951171875,40.307498931884766,57.376121520996094,29.477500915527344,39.79949951171875,40.307498931884766,62.84000015258789,29.540000915527344,39.97200012207031,40.39500045776367,63.150001525878906,29.11750030517578,38.92399978637695,39.610198974609375,62.040000915527344,29.19499969482422,39.11800003051758,39.76300048828125,62.29999923706055,127007600,119724000,32804000,19922900,0.011147950211184199,0.008667638887901674,0.015276660915298557,0.01991160088348276,0.013750962724466798,1.0251295609518951,10251295.60951895
2017-01-09,27.684465408325195,39.84600067138672,40.33250045776367,57.19350814819336,29.747499465942383,39.84600067138672,40.33250045776367,62.63999938964844,29.857500076293945,40.0885009765625,40.49829864501953,63.08000183105469,29.485000610351562,39.5885009765625,40.14149856567383,62.540000915527344,29.487499237060547,39.900001525878906,40.31999969482422,62.7599983215332,134247600,68922000,25492000,20382700,0.009159632788707128,-0.003182741669562117,0.0006202698391473138,0.0011683855384734265,0.001941386624191438,1.0271197337695905,10271197.337695906
2017-01-10,27.71238136291504,39.79499816894531,40.239498138427734,57.17524719238281,29.77750015258789,39.79499816894531,40.239498138427734,62.619998931884766,29.844999313354492,39.900001525878906,40.45650100708008,63.06999969482422,29.575000762939453,39.47700119018555,40.175498962402344,62.279998779296875,29.6924991607666,39.83000183105469,40.393001556396484,62.72999954223633,97848400,51168000,23536000,18593000,0.0010083616995344435,-0.00031928371596356975,-0.002305890244353459,-0.001279990502987438,-0.0007242006909425058,1.026375892948714,10263758.929487139
2017-01-11,27.861286163330078,39.95100021362305,40.39550018310547,57.69568634033203,29.9375,39.95100021362305,40.39550018310547,63.189998626708984,29.982500076293945,39.974998474121094,40.407501220703125,63.22999954223633,29.649999618530273,39.47549819946289,40.06850051879883,62.43000030517578,29.684999465942383,39.68299865722656,40.25,62.61000061035156,110354400,59856000,21318000,21517300,0.005373222837294911,0.009102525542181716,0.0038768387254997094,0.003920142024267603,0.005568182282310985,1.032090941010822,10320909.410108222
2017-01-12,27.744956970214844,40.68199920654297,40.31800079345703,57.1661262512207,29.8125,40.68199920654297,40.31800079345703,62.61000061035156,29.825000762939453,40.70650100708008,40.36949920654297,63.400001525878906,29.552499771118164,39.974998474121094,39.958499908447266,61.95000076293945,29.725000381469727,40.015499114990234,40.356998443603516,63.060001373291016,108344800,97478000,27062000,20968200,-0.004175298743686273,-0.009178504021732037,-0.001918515411299393,0.01829738902683742,0.0007562677125299289,1.0328714780659032,10328714.780659031
2017-01-13,27.69609832763672,40.856998443603516,40.39400100708008,57.248294830322266,29.760000228881836,40.856998443603516,40.39400100708008,62.70000076293945,29.905000686645508,41.08250045776367,40.56119918823242,62.869998931884766,29.702499389648438,40.56999969482422,40.33449935913086,62.349998474121094,29.77750015258789,40.715999603271484,40.374000549316406,62.619998931884766,104447600,75838000,21984000,19422300,-0.001760991831076808,0.0014373648258143579,0.001885019398962351,0.004301638082535586,0.0014657576190588717,1.034385417304387,10343854.17304387
2017-01-17,27.919452667236328,40.486000061035156,40.230499267578125,57.09307098388672,30.0,40.486000061035156,40.230499267578125,62.529998779296875,30.059999465942383,40.79999923706055,40.356998443603516,62.70000076293945,29.55500030517578,40.172000885009766,40.01850128173828,62.029998779296875,29.584999084472656,40.78499984741211,40.354000091552734,62.68000030517578,137759200,73410000,27242000,20664000,0.008064469477158553,-0.00271141432064681,-0.0040476737987230615,-0.009080412088530276,-0.0019437576826853986,1.0323748227026437,10323748.227026436
